"","quote_text","response_text","relation"
"9645","They are not the properties of the physical universe (since they are conceptual) ...","I'll give you that, though there is a whole school of debate about what thoughts are.",1
"5519","I don't think that Paul was actively gay. He was so odd about having anykind of sex at all that it was pretty warped.","Oh, what the hell.
 
 As is so often the case, I have a definitive source on this:
 
 http://www.lunaseas.net/gaps/episode9.html",1
"4559","Answers include but are not limited to:
  People need a solution for the Problem of Evil.
  People want to have an ""objective"" standard for good and evil.
  God said it, I believe it, that settles it.","Mormons believe that Satan is the brother of Jesus.",1
"7346","Atheists feel that their views are more than a denial of a God; for them, atheism is also way to find new purpose and meaning in life without confining themselves, or their beliefs, to a set of rules.
 
 Quick fix
 
 Comparative Religions teacher Cherie McGinn has always been aware of atheism among her students, but says that it is often a temporary belief. McGinn feels atheism can often be a ""quick fix"" for students who are still searching or need a way to declare their independence.
 
 ""It's easier to say 'I don't believe in God' than to say, 'I believe in this,"" McGinn explains. According to McGinn, most people who claim to be atheists are probably agnostic, or people who do not believe God's existence can be proved either way. ""It takes a strong level of commitment and understanding to be a true atheist,"" says McGinn.","The ""truth"" about atheism is that it's the only proposition that makes sense (apart from agnosticism ?) to people who conclude, as I do, that religious principles are not based on reason.
 I know it's a bit unusual in a public forum but I'd like to introduce a little personal history here by way of illustration of my path to atheism: I was educated during my most impressionable years (11-18) at a grammar school controlled by the Jesuits. All my teachers were priests and many were of formidable intellect. Every morning began with ""divine service"", every lesson was started and ended with a prayer. At noon we sang the Angelus and at 3.30 in the afternoon we finished the school day with Benediction. We had at least one session a day learning and reciting the catechism - so we could be word perfect in our answers to metaphysical questions. Yet all this religious conditioning failed to arouse any spark of faith in me. Sure, I conformed to all outward appearances, but inwardly I rebelled and I did not believe. So why didn't I believe - because my clergymen teachers gave me no REASONS to do so. When, eventually, during my last days at school I chose to reveal my disbelief - the Rector said, ""Well, after all, faith is a gift from God !"" , and I had received no such gift. 
 Since, in my view, there is no reasoned evidence for God's existence, why succumb to wish-fulfillment ? It's less comforting but more honest to be an atheist.",1
"9962","And you wonder what has prevented me from being in an accident? Well, perhaps the fact that I am a concientious, defensive, and skilled driver who excercises caution while on the road. Maybe next time someone pulls out in front of me, I should just throw my hands in the air and scream ""take the wheel jesus!"" I am sure some magical being will fly down from heaven and save me from crashing. Yeah...sure.","I know there&#8217;s an explanation for everything, that&#8217;s why God isn&#8217;t praised as much as He should be.
 I tend to thank Him for all things. It&#8217;s a habit of mine. I just thought that I&#8217;d throw in my 2 cents worth. No harm intended.",1
"9632","You are assuming that God (if there is one) is not somehow sustaining His creation. Once again, this cannot be proven nor disproven by science as it cannot be tested or observed - as you said in your original topic starting post. But it is reasonable to believe, that if there is a God who created the whole universe, then without Him sustaining it somehow, it would cease to exist - hence, since it does exist, it is logical to believe that He is somehow sustaining it (obviously not as much as He can). So, if true, the observations that we see and/or take, are the effects of God acting on His creation; and miracles can be explained in such a way to say that it is God just acting on a part of His creation in a different way, this is not only plausible but logical.","as far as all observable evidence dictates, the laws of nature are what sustains the universe. there is not one single function of nature that isnt on ""autopilot"" as it were. that is, no function needed to sustain the universe occurs outside of natural law. what's more, nothing that defies natural law (whether universe-sustaining or not) ever occurs in observable reality
 
 
 I'm glad you responded Nu Leader. this is this issue that really hits the religion/science divide. as it is, God has been gradually and subliminally coralled in the spiritual realm. there is absolutely nothing in the physical and observable world that is a function of God, or a manifestation of supernatural power. in other words, in the realm of the physical, God has no turf. even if God does exist, he does not (and by biblical definition, cannot) physically manifest his being nor the effect of his power
 
 this leaves us with the spiritual realm. this realm, whether it exists or not, does affect people. yet this realm is as elusive and intangible as God himself. the same realm that God is believed to abive and reign in, is said to be the same realm that humans enter only when they die. i have many thoughts about the effects of this spiritual realm on reality, but for now i think its sufficient to say that God is limited to the spiritual realm only",1
"1136","as for the proof, its really not a proof at all. if God is defined as a perfect being in reality, that does not mean that God exists. if i define a ufo as a flying spacecraft from another planet in reality, that does not make such things exist. its just a definition. i really dont see how that can be even considered a proof
 
 basically, the definition: ""a being possessing every perfection and every positive attribute"" is not a true definition, because both perfection and positive attributes are subjective. so theres really nothing to work with here
 
 God, by this definition, doesnt exist","Well, according to Descartes, if I have an idea of a most perfect being, I shall distinctly perceive that such a being must contain all perfections - including reality in every degree. So this idea also contains existence. God's essence is to exist, and of no other thing can this be said. (Existence in everything else being contingent.) 
 
 To refute these arguments, and some philosophers doubt they can be refuted, I think you will need to take another tack.",1
"2528","I'd not punish anyone. I don't think punishment does well at teaching children.","Pain is the best teaching tool.",1
"7155","Well, I wasn't an fortunate as you. It took me a few years to see through the fairy tale of evolution and see that God was the only true creator. However, that is a whole 'nother topic.","um, yeah, you could say that... (won't argue... left up to the evolution board)",1
"864","First off this is not an accurate depiction of atheism. Atheism doesn't dictate how the universe was created or what happens after death. It just says that there is no god. Other than that it's up to you to think, use your brain. This is also why the thread title: ""I don't have enough faith to be an atheist"" is not accurate. All you have to do is believe that we weren't created by God. It doesn't in any way relate to evolution, the big bang, etc.","I'm not sure where anyone said it related to evolution, the big bang, etc., but I might have missed something.",1
"6368","It can be the result of the same questionings that scientists have but just on a different plane. Faith and reason are not always perpendicular but they are often times parallel. Because one holds a certain dogma dealing with a particular subject does not mean he is closed minded on every other subject.","Well, that may be true. But the U.S. is blessed with an unusual number of people in which this is not true. One particular brand of christianity that is mostly limited to the U.S. actually rejects science based on mythology. Their religious dogma closes their mind to the reality around them.",1
"9724","Not being able to change something would be an indication of not being omnipotent. Here is another example of your inadequacies.","corrected above, thank you, minus the insult that followed.
 It still stands however as a rational rebuttal.",1
"9083","Can a Deist be a Deist if they are also a soft or hard atheist?","I think deism and atheism are incompatible. A true atheist would have no openness to the idea of a god of any sort.
 
 Agnosticism may be a different story.",1
"8992","Have you read any of Sam Harris' work?","No, but I agree with him that we should all be able to find our own spirituality without the religious hound dogs tracking us down.
 I don't think he would agree with how you and others approach the religious posts in this forum either.
 
 Even though I don't agree with everything I read of him, which is not much, I do think he's on the right track. I hope he can find the answers he's looking for. Who knows, he may even be able to find a cure for stupid.",1
"8637","3 And God said, Let there be light: and there was light. 
 
 4 And God saw the light, that it was good: and God divided the light from the darkness. 
 
 5 And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","After God had ""created"" the lights, that means when the lights can't pass through an non-transparet object , there's a shadow and gone ""darKness"" , but the ""one"" who wrote the bible should be God but seemed didn't know this phenomenon , that ""writer"" said : God had to ""divide"" the light from darkness. 
 
 emoticon_confused emoticon_confused emoticon_confused 
 
 That prove:- the writer was just someone who didn't have that scientific knowledge in the old days. 
 
 Do you agree ???",1
"4365","For your info just a many Democrat go to church as well so whats that suppose to mean too. Come on Satin get with the real world. emoticon_rolleyes","Actually, I reported the real results of a study. Regular church attendees are twice as likely to vote Republican...etc., the conclusion was, however, meant to be a joke. Most got it, you didn't. emoticon_rolleyes",1
"9668","""There is far more proof needed to reasonably believe what's asserted in the Bible than there are for most things. ""Extraordinary claims require extraordinary evidence"" - Carl Sagan. I think that statement really is true. Just imagine a couple statements I could make and what the proper reactions should be to them.
 
 
 
 1. I was sitting in my room last night and I got a call from a friend of mine.
 
 The normal response is ""ok"". Everybody has phones, most people have friends, people calling their friends is a very normal thing to do... if this is the only statement I make about that call, there's really no reason for anybody to question the validity of it.
 
 
 2. I was sitting in my room last night, and a stranger wearing a black trenchcoat came and knocked on my door.
 
 This statement should be questioned somewhat. A person wearing a black trenchcoat during the summer in Florida is odd, but not the craziest thing anyone's ever seen probably... it does need to be explained though.. more detail is needed to conclude that this probably did happen. I should be able to explain the reason this happened adequately for somebody to believe that this actually happened.
 
 3. Last night I was sitting in my room and the walls started bleeding, then several of our founding fathers' ghosts walked out of my closet and told me it was my mission to make sure that church and state remain seperate.
 
 Everyone that hears me say that, should automatically say ""no"", until I provide some amazing, concrete proof of that. We know about the physical makeup of my bedroom walls, they can't bleed. The idea of ghosts from the past coming to visit people I would imagine is 100% foreign to just about everyone... so nobody's word should be taken on that either.
 
 
 
 This is the problem with the resurrection and miracles of Jesus... believers think we should believe it's true and just give it the kind of inspection like in number 1 or maybe number 2, but they're things that nobody living today has actually witnessed anything similar to... it defies the laws of science and nature to the extent that we know them... and the closest evidence we have of them is a couple eye-witness accounts (questionably), which weren't even written within 15 years of his death. There is no rational basis for believing it based on this... ANY feasible explanation that falls within the realm of reason and nature should ALWAYS be taken over any explanation which turns to the supernatural and irrational.""
 
 -mD","Well, I suppose that the reply it took me almost 5 minutes to type, a couple more to check and a couple to correct will not suffice now.",1
"489","I thought of somthing sunday, as I was teaching sunday school (I know shocking),","You aren't serious are you??? Is this a joke? You're one of the most active attackers of Christianity in these threads. Aren't you the one that likes to use the term ""Christonazi?""",1
"4702","Abram, I would suggest you study cognitive processes and the evolution of both the human body and the human mind. We take reality and describe it in our minds and thus form it into abstract concepts which we can operate with. Or, for more fun, just read a few articles on camouflage. You'll see that you don't become invisible by looking exactly like your surroundings, but by simply not looking like anything at all to the observer's eye.","Iuris, there is something, I want to say something Zenlike in this statement--but I am not sure.",1
"7261","From another thread:
 
 
 The head of the Federal Emergency Management Agency is directing people wanting to contribute to give to the Christian charities above. Again, where are the atheist organizations?","Well, who was the head of FEMA appointed by? A brief googling seems to suggest a Mr. G.W. Bush was responsible, it wouldn't be entirely out of the question for dubya to appoint another member of the Christian right to this permission, who might be keen for Christian charities to be promoted. Other possible reasons are that religion is very strong in the south, and hence religious charities are more likely to have resources in the south, were the problem is.
 
 In any case, the red cross is by far the largest organisation involved, and as has already been estalbished is secular. And as I said before just because the organisations are Christian doesn't necessarily mean that their workers or contributors are.",1
"1561","I like your thinking, although I disagree with it. You say that God is the universe. I propose that God is relational. That without a relational god we are truly hopeless. The problem you are running into is that you are trying to imagine god existing within the framework of creation (universe etc.) and tying his existence to that. NOw I am going to say something that will really not make sense to you. God existed BEFORE time. Chew on that one a bit. Eternality implies an existence outside of time. And in fact, much of science alludes to this possibility. I certainly could never prove it and do not propose to but would like it if you would consider the implications.
 
 As for God communicating to us, there is nothing that prevents that. Especially if you accept the idea that we are imago dei, image bearers of the divine. We are not perfect images but we are rational, emotional, spiritual, beings
 
 EF","""Before time""? Does that phrase have any meanng? That is sort of like saying something is north of the north pole. It is symantically meaningless.",1
"7045","What if my own words and feeling sound just like that dusty book? What if I happen to agree with it? What if I take it in context? Actually one would be hard pressed to show where I have ever taken it out of context.
 
 If I say that I worship Him because he is powerful, beautiful and has loved me greatly, does that mean you now get to argue those points and say he is not any of those. I would say you do not get to argue my assumptions about God as they are mine. YOu may argue my conclusions based on my assumptions but you could not argue my assumptions, nor I yours. 
 
 Is that a fair statement of how to answer the question?","It's a lot more interesting for us to read if it is in your own words.
 
 If I wanted to read a bible, I'd steal one.",1
"3010","2. The resurrection story of Jesus is:
 A. a myth - see answer 'A' above.
 B. a legend that grew over time, well after anyone could have proven the legend false.
 C. a lie fabricated by his followers immediately after his death
 D. an honest misunderstanding; the Jews lost the body and were embarressed to admit their mistake while his followers were hallucinating
 E. Other (limit your response to 50 words)","2, A. Myth;
 Complete fabrication.",1
"731","These people sound more like a cult than religion.
 
 They should be declared a public nuisance and the police should be called whenever they picket any funeral. 
 
 What about respect for the dead? In my view they should have a law banning pickets and demonstration within sight of graveyards.","And I believe they should ban religious speech the defame gays or ban religion all together as a public nuisance and protect the public from its drug like effects. I understand, however, that to restrict others freedom of speech of one group today, might mean that my freedom of speech could be restricted tomorrow.
 
 
 They have the right to free speech even free speech, I or anyone else diagrees with. This does not mean that I think that they do not have to take responsiblity for the speech. With freedom comes responsiblity. The law suit for pain and suffering, I think is just.
 
 Oh so many law suits to plan. Because with freedom of religion and religious speech comes responsiblity. This case now sets Precedent, that if I find religious speech hurtfull, or the actions of religious groups trying to fight gay people, marriage, or gay rights, I could sue for pain and suffering.
 
 God bless Fred Phelps for giving fundies and religion a black eye. :) Fred Phelps is the one of the best things ever that could happen for gay rights. GO FRED.",1
"5345","The mentally disabled are not able to drive. They depend on level-headed, indiscriminate folks like you and I to do that...and most everything else for that matter. Don't forget who depends on whom.
 
 I wonder what that wonder was? Hmmm...","Well, it depends on your definition of retarded I guess. The standards to get a drivers license are really not that high. Think of how dumb the average person is, and realize that 50% of people are dumber than that. Kinda makes you cringe. 
 
 And you wonder what has prevented me from being in an accident? Well, perhaps the fact that I am a concientious, defensive, and skilled driver who excercises caution while on the road. Maybe next time someone pulls out in front of me, I should just throw my hands in the air and scream ""take the wheel jesus!"" I am sure some magical being will fly down from heaven and save me from crashing. Yeah...sure.",1
"8142","Over 100 Million dead in Germany, Russia and China.","You can have Russia and China, but Hitler was very much a ""christian.""",1
"3286","I do not see any problem with the Jehova's or any other's idea of a scriptural account. Once the debate has begun, I will not make another post until the end.
 
 One week sounds reasonable - you might want to post within a shorter gap later on, but that will be up to the person posting. You should both be able to post in your own time. A week is sufficient, I should think.
 
 I recommend that no limit be placed on posts, but that it is recommended that posts stay generally smaller. It's far more challenging to be succint than to write gallons. One more tip: it's a good idea to, in your first posts, include definition so that terms might be clarified, and it avoids later, unecessary hassle. 
 
 If we just wait for Hank's clarification on those few points, then we can then begin!","I know this would be somewhat of a drain on your time but I think it would be helpful if you would make a short post at the end of each post stating how much time the next poster has, what post number this is, how many are left, any comments concerning going outside the rules, etc.",1
"3625","No, because 2+2= 4 if you agree with it or not.
 
 It's a concept that is not dependent on man to agree with it.","That's EXACTLY the point. Regardless of whether or not human minds think differently, whichever mind produced and agrees that 2+2=4 is absolutely correct, the rest are wrong. 
 
 We know this because we can observe and test the concept in the physical world and prove that it is true. 
 
 This goes for just about anything, dissention in the face of facts does not change the facts.
 
 IMHO, this invalidates your claim that something produced in the human mind is not absolute due to some human minds being contradictory.",1
"5358","Just a word of advice. If you stopped doing all those stupid things with font size and color some people, me included, might give your posts more serious consideration. If you need to be ""clever"" in your presentation to get your point across then your point can't be all that well formulated.","-------------------------------------------------------------------
 First of all.... I agree, in retrospect, that the font size was too large in this particular post... Therefore, I have changed it.
 Second.... I thought the content was more important, than the font size.:xcensored 
 THIRD......WHAT COLOR are you talking about the original post??? :xbanghead 
 Forth..... What is it with your attitude? It would have been nice if you had just sent me a private message INSTEAD. This would have been appreciated. Because it is not my intent to have people NOT read the post due to font size problems.
 Fifth..... You have a problem with larger font sizes & color??? Maybe write to 4fourmns and tell them they should remove the color & font options!!!! emoticon_xkill emoticon_xkill emoticon_xkill",1
"8600","What does this mean in terms of proving their existence? Since their interactions with us are outside the realm of science, science can't really say anything unless the dieties in question specifically choose to interact with us in a way which science could verify. That is to say, the existence of any God can't be proven against that God's will, but I believe that if a diety wanted to have it's existence known than it would certainly be able to do so.","yes, but if we cannot even observe the effects of such a deity, what difference does it make to man whether such a God exists or not? for now, i think we can comfortably conclude that this deity, if he exists, doesnt want to have his existence known. furthermore, this deity doesnt seem interested in interacting with mankind in any physical sense. what good is such a God? whether he exists or not holds absolutely no bearing on reality.",1
"9357","How do you know if they WANT to believe in a deity? They simply don't.","and the others don't want to believe (hope there isn't) a god",1
"9807","Bonus Question:
 We don't know. We credit Homer for the silly reason that a blind guy telling epic stories makes for good imagery. The stories were likely oral traditions passed along and embellished repeatedly.","Why then is this not taught in history classes? Why are we taught AS FACT that Homer wrote them?",1
"1165","A curse? If you don't agree with it that's one thing. Many people have died because of Christianity.","Bad Religion or misapplied Religion has been in every century, country and culture.",1
"3012","if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily. If they are produced from human minds, and human minds are mutually contradictory, then how can the constructs be absolute? Therefore, the laws of logic are not human constructs.","very true. logic exists whether people are there to grasps its concepts or not.
 
 where we disagree is at your assumption that god created logic. how can this be? logic is not contingent on any intelligent entity, whether it be man or god, to exist. the logic of increasing a quantity by adding to it would remain whether god existed or not. you have yet to tie the existence of logic to god as its cause",1
"6895","If God is a forgiving one, why is there the Devil?","Because Satan is a fallen angel. He had a chance to be with God, but he didn't take it. He could go back to God any time he wanted to, but he doesn't want to. He has free will. God won't take that away, even though He can.",1
"1167","I might start another thread, and change the subject to:
 
 I'm Not Dumb Enough to Be an Agnostic!
 
 Oh well, at least it represents a more illectually honest position than Atheism!","I've tried to be ""intellectually honest"" with you as well as patient with your ""fuzzy"" thinking and propensity to paste and interpret.",1
"326","Well? Let's get to it. Why do YOU believe?","I believe in that which is. Because to believe in anything else is ultimately pointless.",1
"7875","I believe in the teachings of Jesus.","That's a vague statement.",1
"6877","You keep bringing up the Red Cross. The majority of donators to the Red Cross are most likely Christians as well, so what's your point? emoticon_confused","But is the Red Cross Christian? Obviously most contributors are Christian. That's obvious as most Americans are Christian.",1
"1369","Faith by definition is a belief without evidence.","yes.
 
 But then you throw in ""reasoned faith"". But then you are making up terms that try to show faith as reason. What is reasoned faith? If reasoned faith is the same as ""reason"", then fine, you aren't using faith. If it's faith, belief without evidence, then your evidence is your faith, and thus, it's circular.
 
 If your faith is even part of your ""evidence"" or ""reason"" for belief, then logically the entire claim is arrived at through circular reasoning. You can use both all you like, I'm just letting you know it's fallacy to claim faith as evidence, which you do. If you do not, then you are using reason, and not faith, and we don't need to continue because I see no fallacy in using evidence to back your claim.
 
 Enjoy.
 
 I found this as well, maybe it will be worded in such a way that you understand, since you seem to reject my arguments based on my name.
 
 http://rous.redbarn.org/objectivism/Writing/JoelKatz/answers2.html",1
"4936","2. The resurrection story of Jesus is:
 A. a myth - see answer 'A' above.
 B. a legend that grew over time, well after anyone could have proven the legend false.
 C. a lie fabricated by his followers immediately after his death
 D. an honest misunderstanding; the Jews lost the body and were embarressed to admit their mistake while his followers were hallucinating
 E. Other (limit your response to 50 words)","A.",1
"6714","Many on the religious right claim a belief in the existence of Satan and blame him for many of the evils in this world. I am curious why people believe that Satan is responsible for those evils, not men and their weaknesses. If you believe that Satan exists, can you give a specific example of some human event where you think he had to have played a role?","Oh, we already know a bunch of events that he played a role in. They even made it into a song!
 
 Please allow me to introduce myself 
 I'm a man of wealth and taste 
 I've been around for long, long years 
 Stole many man's soul and faith 
 
 And I was 'round when Jesus Christ 
 Had his moment of doubt and pain 
 Made damn sure that Pilate 
 Washed his hands and sealed his fate 
 
 Pleased to meet you 
 Hope you guess my name 
 But what's puzzling you 
 Is the nature of my game 
 
 I stuck around St. Petersburg 
 When I saw it was a time for a change 
 Killed the Czar and his ministers 
 Anastasia screamed in vain 
 
 I rode a tank 
 Held a general's rank 
 When the blitzkrieg raged 
 And the bodies stank 
 
 Pleased to meet you 
 Hope you guess my name, oh yeah 
 Ah, what's puzzling you 
 Is the nature of my game, oh yeah 
 (woo woo, woo woo) 
 
 I watched with glee 
 While your kings and queens 
 Fought for ten decades 
 For the gods they made 
 (woo woo, woo woo) 
 
 I shouted out, 
 ""Who killed the Kennedys?"" 
 When after all 
 It was you and me 
 (who who, who who) 
 
 Let me please introduce myself 
 I'm a man of wealth and taste 
 And I laid traps for troubadours 
 Who get killed before they reached Bombay 
 (woo woo, who who) 
 
 Pleased to meet you 
 Hope you guessed my name, oh yeah 
 (who who)
 But what's puzzling you 
 Is the nature of my game, oh yeah, get down, baby 
 (who who, who who) 
 
 Pleased to meet you 
 Hope you guessed my name, oh yeah 
 But what's confusing you 
 Is just the nature of my game 
 (woo woo, who who) 
 
 Just as every cop is a criminal 
 And all the sinners saints 
 As heads is tails 
 Just call me Lucifer 
 'Cause I'm in need of some restraint 
 (who who, who who) 
 
 So if you meet me 
 Have some courtesy 
 Have some sympathy, and some taste 
 (woo woo)
 Use all your well-learned politesse 
 Or I'll lay your soul to waste, um yeah 
 (woo woo, woo woo) 
 
 Pleased to meet you 
 Hope you guessed my name, um yeah 
 (who who)
 But what's puzzling you 
 Is the nature of my game, um mean it, get down 
 (woo woo, woo woo) 
 
 Woo, who 
 Oh yeah, get on down 
 Oh yeah 
 Oh yeah! 
 (woo woo) 
 
 Tell me baby, what's my name 
 Tell me honey, can ya guess my name 
 Tell me baby, what's my name 
 I tell you one time, you're to blame 
 
 Oh, who 
 woo, woo 
 Woo, who 
 Woo, woo 
 Woo, who, who 
 Woo, who, who 
 Oh, yeah 
 
 What's my name 
 Tell me, baby, what's my name 
 Tell me, sweetie, what's my name 
 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Oh, yeah 
 Woo woo 
 Woo woo 
 ~Sympathy for the Devil; by the Rolling Stones
 
 :) ;)",1
"9623","The ""truth"" about atheism is that it's the only proposition that makes sense (apart from agnosticism ?) to people who conclude, as I do, that religious principles are not based on reason.
 I know it's a bit unusual in a public forum but I'd like to introduce a little personal history here by way of illustration of my path to atheism: I was educated during my most impressionable years (11-18) at a grammar school controlled by the Jesuits. All my teachers were priests and many were of formidable intellect. Every morning began with ""divine service"", every lesson was started and ended with a prayer. At noon we sang the Angelus and at 3.30 in the afternoon we finished the school day with Benediction. We had at least one session a day learning and reciting the catechism - so we could be word perfect in our answers to metaphysical questions. Yet all this religious conditioning failed to arouse any spark of faith in me. Sure, I conformed to all outward appearances, but inwardly I rebelled and I did not believe. So why didn't I believe - because my clergymen teachers gave me no REASONS to do so. When, eventually, during my last days at school I chose to reveal my disbelief - the Rector said, ""Well, after all, faith is a gift from God !"" , and I had received no such gift. 
 Since, in my view, there is no reasoned evidence for God's existence, why succumb to wish-fulfillment ? It's less comforting but more honest to be an atheist.","I'm an atheist pretty much the same reason you are an atheist (except for going to a religious school.
 
 I didn't really think it was fair and balanced at all. It protrayed atheists as lost from the true path. The reasons it gave for being atheist were they hadn't found god yet, and a tradgedy. What about logically thinking about it? And a RELIGIOUS STUDIES teacher says that atheism is just a phase? They also say atheism is the easy way out. I think it's easier to just believe in a god and be comforted. I'm not saying people do but I'd say Christianity is more of a quick fix than atheism. All you have to do is believe in god and you're safe for your life and afterwards. Most Atheists don't believe what they do just to rebel or haven't found God yet. Mostly it's because they realized that there is no logical proof (enough for them) that there is God. They also said incorrectly that atheism isn't a religion.
 
 
 re·li·gion [ri líjj?n]
 n 
 1. religion beliefs and worship: people?s beliefs and opinions concerning the existence, nature, and worship of a deity or deities, and divine involvement in the universe and human life 
 
 Microsoft® Encarta® Reference Library 2003. © 1993-2002 Microsoft Corporation. All rights reserved.
 
 Wouldn't you say the belief that there is no god and when we die we die qualifies as this?",1
"650","If Jesus existed, was crucified and died for us, why do you take that bit literally when you've already stated the contrary?","Yes and no",1
