"quote_text","response_text","relation"
"I hold the position that personal lives are trivial within the scope of an individuals career, purely for the reason their personal life is obviously not their life's work.","And I maintain that Personal life sections are not trivial within the scope of an individual's career and that Personal life sections are not that different from Early life sections.","0"
"Huttick, the Catholic Church believes Buddhism isn't a religion.","The 1st statement is incorrect. The 2nd Vatican Council calls Buddhism a religion ([10], section 2).","0"
"I think this makes more sense - common descent is what produces biodiversity, and so it makes sense to mention biodiversity first and then common descent second; plus I think the sentences read better the other way.Drift and selection can only eliminate diversity; mutation is the only process that produces divergence.","Saying that drift and selection do not produce diversity is therefore a very wrong statement.","0"
"Some editors at Astrology believe that it is appropriate to add the following criticism of a peer-reveiwed study in Nature: [[4]]): ''Criticisms of Carlson's study have been published in numerous astrological and other fringe journals.","Oppose. IMO, if criticism is fringe, we cannot devote any space to it.","0"
"I believe the article should be changed to another name.","No, Wikipedia does not pander to fringe views, those are shipped off to Denial of the Armenian Genocide.","0"
"I was simply surprised that it's integrated into a section about her music and that there is not a Personal life section in this article where it can go.","Another note, the charities section should also be intergrated into the Biography instead of being separated.","0"
"The WP:RS are unanimous: HIV causes AIDS.","You cannot say that EVERY RS in the world is unanimous on the topic that HIV is 100% the cause of AIDS.","0"
"The refs were to the LDS and AAF websites, neither reliable secondary or independent sources.--","Whether a source is secondary or primary is subject to the individual.","0"
"if it's night then shouldn't there be light coming from the inside of the buildings?","And I disagree with Sean that you need light coming from the windows, because if it is that late most lights would be turned off, and places like the bar would have really dingy lighting anyway.","0"
"As a courtesy in the future, please share your sources rather than simply delete material.","I don't know why you claim I'm providing citations, when they have already been pointed out.","0"
"I would appreciate if you would reframe from calling me a racist.","It seems, no matter how much sourcing or facts I provide, I cannot generate any response from critics other than personal attacks about racism or Wikipedia history.","0"
"I thoroughly enjoyed it, less for the whinging and more for the astute observations of Hollywood culture.","Add the excessive bitterness, and I don't think she really accomplished more than making herself look like an ass.","0"
"This is not a list of topics that are characterized as a pseudoscience in light of current, or at least reasonably contemporary scientific method.","First off, this is not properly a list of topics that have been characterized as pseudoscience by somebody at some point in time for all of history, but rather is properly presented as a list of topics that are characterized a pseudoscience in light of current, or at least reasonably contemporary scientific method.","0"
"The term 'Centrifugal force' really is used to describe force terms in polar coordinates even in inertial frames; indeed I have added that quite clearly to other articles.","That's not correct.","0"
"I think the sentence is good the way it is; it shows that the church, while believing itself to be the ''one true church'', also wants to work with others on common goals/for unity.","I would suggest no, and to keep the copy in the Beliefs section.","0"
"We are only a couple of weeks away from resubmitting this article for FA and the vandalism is really an obstacle here.","There is nothing like a vandalism problem here.","0"
"Weren't the Mahayana texts created by the Mahāsāṃghika, which is THE oldest vinaya of Buddhism and the ''default'' vinaya of Buddhism, while Theravada is some side branch of some people who split off from the Mahāsāṃghika.","''oldest branch'' is a very unclear phrase in this context. When talking about human genetic or linguistic history, ''oldest branch'' would refer to the group that split off earliest from the mainstream population; for example, we can talk about the Anatolian languages are the oldest branch of Indo-European because they have both innovations and archaic features that are not shared by any other attested Indo-European languages. However, that's different than what most people are likely to think it would mean: actually, all branches of Indo-European or of Buddhism are equally old, because they all go back to the same source (otherwise, it would be a mistake to think of them as branches).","0"
"We now need to discuss how to change the answer to question 1 to make sure it is noted that Obama was factually wrong when he stated in his book that he went to a ''Muslim school''.--","I don't know if it needs to be changed, the links provided(in the FAQ) go into detail with explanations about it.","0"
"Friends have told me nice AND mean things, so it's hard to tell when I think someone is bullshitting me, so almost by default I have to assume that everyone is full of shit (unless I've known them for a while).","I'd figure if a friend can tell you nice AND ''mean'' things, that means they're not bullshitting you.","0"
"Um, no.","Um, yes.","0"
"Some would even dispute the 1931 Statute of Westminster as granting full independence, as jurisdiction over foreign affairs remained ambiguous.","There was no ambiguity post-1931. The Statute of Westminster was absolutely clear: No act of the British parliament would have effect in Canada unless the Canadian government gave its consent to such.","0"
"The problem with your version is it leaves out mention of persecution of Catholics, and many other factors.","By including the information to justify Mary's actions but NOT the information to justify Elizabeth's, the article displays a pro-Catholic POV.","0"
"I am not sure what would be the best word - however ethnic cleansing (though not my favorite phrase) perhaps describes the intent of the actions and uprooting (from homes/villages etc) also somewhat describes at least the portion regarding the removal of persons and forced (death) marches pretty much describes what occured from there on out.","''Ethnic cleansing'' wasn't that a phrase dreamed-up by some Washington wag-the-dog think-tank as a way of implying genocide without actually having to produce any evidence to prove genocide?","0"
"Wassap, I don't see NPOV violations so much as an attempt to keep it short.","I - for one - do not think this article is NPOV.","0"
"I lived in Africa for many years and I can confirm that in Africa, the term ''black people'' is regarded as highly offensive. Color coding is western culture.","I am an African, born in Africa, and I have never known an African who regards it as ''highly offensive'' to be called ''black''. In my language we call black Africans jo acol without any pejorative connotations. Jo acol means black people.","0"
"Even though the next episode promises to be even more ridiculous, I'm still excited.","Next week's is probably going to be a disaster.","0"
"If unomi takes out the quote, I'll support that.","I think the quote should remain because it is absolutely relevant to the evolution of the term.","0"
"The title was the only problem.","The problem was and is that this list does not serve as an explanation of the philosophical concept of a pseudoscience, but as a coatrack for fringe-bashing.","0"
"You can use coordinate systems and coordinate transformations to translate from one reference frame to another, but they are not the same thing.","Once again, frames are equivalence classes of mutually stationary coordinate systems.","0"
"It's ''pray against it, search your soul for what you have done and how to change, and take steps to rectify the wrongs and stop doing evil in order to keep the Devil at bay.''  Catholic doctrine doesn't allow ''the Devil'' as a ''get out of responsibility free'' card.","It's possible when the chief exorcist says ''the Devil lodges in the Vatican'' he means that, literally, the Devil is possessing members of the Church.","0"
"Within that context, general curvilinear coordinates are the most comprehensive, and when the discussion is framed in those terms, the entire subject becomes unified, and one sees that what had seemed to be distinct concepts are really just different ways of looking at exactly the same thing.","I'd agree that ''just the same thing'' can be described in various coordinate systems. However, the fictitious forces and the classification of the various contributions as ''centrifugal'', ''Coriolis'', or ''Euler'' depends strongly upon the observer's state of motion (e.g. are they rotating? and about what axis, oriented how?) and not upon their selection of coordinates (Cartesian, arc-length, etc.) to describe what they see.","0"
"The Gaza population density is 4118/km2 which is ranked the 2nd densest urban area in the world.","My data seem to disagree with that - see, for example, here, page 77 - Gaza is ranked 36th, and that's counting the Gaza city area, not the entire strip, yielding a much higher density of 16,450/km2.","0"
"A frame of reference has an origin and a way of determining direction. A coordinate system is applied relative to that. A frame of reference can be a physical thing, or a mechanical construct. A coordinate system is not a mechanical construct. They are not the same.- (","As I said in the message to which you are responding, a frame is NOT a coordinate system, it is an equivalence class of mutually stationary coordinate systems. (Do you understand what this means?) But YOU gave your own definition, i.e., you said ''a frame is a set of axes which you use to measure positions'', to which I responded that a set of axes used to measure positions is a coordinate system, and hence your subsequent comments were non-sequiturs.","0"
"I think this makes more sense - common descent is what produces biodiversity, and so it makes sense to mention biodiversity first and then common descent second; plus I think the sentences read better the other way.Drift and selection can only eliminate diversity; mutation is the only process that produces divergence.","There are many mechanisms that do, but common descent in not one of them.","0"
"Retrieved 15 December 2011.  Discussion Which puts Encyclopædia Britannica Concise at odds with the Encyclopædia Britannica that you were quoting on December 4, which goes on to say: Instead of saying that an atheist is someone who believes that it is false or probably false that there is a God, a more adequate characterization of atheism consists in the more complex claim that to be an atheist is to be someone who rejects belief in God for the following reasons...","They are not at odds, and EB states the exact same delineation between agnosticism and atheism, the problem is that you are misreading ''rejects'' - and failing to account for noncognitivism which is the basis for preferring rejects over ''false'' - but they ( as Nielsen makes clear in contrasting agnosticism and atheism ) reduce to the same thing by different routes.","0"
"GAP employs 160,000, are they all suddenly not allowed to update this article?","Not when they're paid to.","0"
"I mean, that's sort of a relief from seeing all the bad stuff that usually goes on.","It was so lame, I felt so ashamed and I wasn't even the idiot saying it!","0"
"Here, it is textbook well-poisoning.","I disagree but have removed it.","0"
"The last section, titled ''Dangers of religions,'' makes sense in an article about atheism, but only if the atheism's dangers are also addressed.","┌────────────────────────────────────────────────────────────────────────────────────────────────────┘ What ''dangers'' of atheism?","0"
"I would appreciate if you would reframe from calling me a racist.","I did not call you a racist.","0"
"Once again, all fictitious forces are ''coordinate dependent things'', so your comment is a complete non-sequitur.","No.","0"
"But this article should be perhaps changed to 'Armenian Genocide Theory' or 'Armenian Genocide Claims' in order to neutralize the article.","Sorry to say, but your weasel tactics to justify the mass slaughter of a million armenians are a bit far fetched.","0"
"Some editors at Astrology believe that it is appropriate to add the following criticism of a peer-reveiwed study in Nature: [[4]]): ''Criticisms of Carlson's study have been published in numerous astrological and other fringe journals.","Oppose. The criticism of the Nature article by astrologers is obviously WP:FRINGE.","0"
"Anyone interested?","Sigh, no can do - my weekends are all booked up these days.","0"
"GBooks links would add nearly 15 kB of raw text.","Canada - Document statistics File size: 560 kB Prose size (including all HTML code): 100 kB References (including all HTML code): 16 kB Wiki text: 135 kB Prose size (text only): 47 kB (7318 words) ''readable prose size'' References (text only): 1194 B Nikki, on the BRD front, you are wrong.","0"
"Common descent actually does the opposite, keeping absolutly vital features of life the same in all this biodiversity.","Erm, I think we're thinking of the tree in opposite directions - moving forward in time, descent means divergence, which is the production of diversity.","0"
"Adding urls does not conflict with WP:CITEVAR. Changing from APA to MLA would be an example conflicting with CITEVAR--","Per WP:CITEVAR, the original citation style (ie. without links) remains unless and until there is consensus here to change it.","0"
"Your last comment simply shows your POV, being a Hamas apologist.","And I am not a Hamas apologist.","0"
"The goal is to make Wikipedia as good as possible and, more specifically, this article as good as possible.","It has become apparent that your account(s) and IP's are only being used for promoting links to lashtal.com and is considered WP:Spam.","0"
"So far, you have repeatedly said that everything necessary has already been provided by you. However, your criteria for clear and documented presentation falls a bit short for the Great Unwashed.","I've given you several references, such as Friedman, that explain all this in great detail.","0"
"Allusions don't make something significant.","I agree with Lucas - those references may not be significant to YOU Mintrick, but they may well be significant to many readers.","0"
"Making a blanket statement that you will not honor the community consensus, regardless of what it is, is probably not going to be helpful to you or your position, and throws up a major red flag in terms of your ability to engage in wikipedia productively. I would suggest rephrasing the question yourself, right here, instead, as being a rather more productive avenue.","That's a misrepresentation of what I have said. I will not support this RFC - this has nothing to do with ''honoring community consensus''.","0"
"The fact that Eliot admits that ''it is not clear'' and makes ambiguous claims about what is ''little known in the Far East'', tells me this is not important enough to mention.","It's perfectly clear that the phrase ''It is not clear'' refers to the Path being taught to lay people, not to the next sentence.","0"
"Let me clear up what I meant above, I certainly don't mean that we should exclude RS material just because it was written by atheists, not at all - what I meant to address was the notion that just because someone calls themselves atheist that they somehow have the ability to redefine what it means.","''Redefine'' is question begging.","0"
"Oh, and forgive me for ''playing with emotions'' as well.","I am not accusing you of bringing emotion into an unemotional subject.","0"
"Question 1 probably should be amended to state that Obama was factually wrong when he stated that he went to a Muslim school.","Now back to the topic at hand, I don't think Obama ''mispoke'' when he said he attended a Muslim school.","0"
"in this case it obviously important and add understanding for reader who click link to see what ''Zionist regime'' refer to''.","I give up on anti-semitic link, not big deal.","0"
"That is why this article has NPOV issues.","But to me your whole crusading attitude on this subjects seems to me very POV.","0"
"You need to push the fire escapes out a little more and your figures need a bit of work, but that's better than I could do my freshman year.","Well, this is my sophomore year....","0"
"Because that is not the common name.","@MacTire ''Britain and Ireland'' is common name though.","0"
"You don't owe it to them or anything, but it is kind of shitty to have your lights on on Halloween when you aren't there / aren't planning to answer.","Now normally I would agree, to be courteous, but I was just visiting her house and the lady who yelled at me was SO rude about it.","0"
"He was misquoted by the BBC.","Zionist regime and Zionist entity are one and the same.","0"
"Yeah, especially the whole thing's starting to die down a bit.","Though it seems that on March 5, 2009, it's getting bigger, not dying down.","0"
"Actually it was 10:30....","I remember it was MIDNIGHT I actually went to sleep whereas when you came I was at the computer.","0"
"WP:EL clearly and specifically forbids driving traffic to social networking sites, forums and mailing list, which seems to be the primary function of LAShTAL.com.","This is a wholly unreasonable attempt to delte a link that the user presumably fears might be considered ''pro''-Crowley.","0"
"If we MUST name Ireland and Britain with a group name, why not name it something less controversial, like ''West European Isles''.","It's not the business of Wikipedia to prescribe ''correct'' usage; as a matter of fact the term ''British Isles'' is being used for Britain and Ireland.","0"
"Note the image was only used thumbnail size in the article so if you were so offended why did you click so to see the larger version?","I don't think it's a valid point that it's small - would it be okay to have a thumbnail of a detailed photograph of two people enthusiastically copulating on the sexual intercourse article if you couldn't see their genitalia in the thumbnail?","0"
"as for the topic discussed, i think eyalmc has provided sufficient resources to show that the translation ''wipe israel off the map'' is a misquote.","The initial quote by the Iranian translator was ''wiped off the map'' and that is what resulted in the notable outcry from world leaders.","0"
