quote_text,response_text,relation
"Well, here are my two cents about what to cut (based on what seems out of place for a lead, not based on any numeric target for length): 1) sentence starting ''Previous names'' (none of these are in wide use today), 2) sentence starting ''HIV infection leads to low levels of CD4+ T cells'' (too much detail for the lead), 3) somehow merge the paragraph starting ''Eventually most HIV-infected individuals develop AIDS.'' with the mentions elsewhere about opportunistic infections, antiretrovirals, etc (I'm not as sure about how to do this one).",I certainly agree on the previous names; not needed in intro.,2
"As a Doctor/Master shipper I can confirm that it was pretty exciting and I genuinely thought for a moment Rusty would throw in a kiss, in a flurry of Master-Insanity and Christmas cheer.","Seriously, the next episode needs a kiss.",2
"Nonetheless, per consensus in the above section, and at Wikipedia:Biographies_of_living_persons/Noticeboard#conerns_over_recent_domestic_violence_reports_between__Chris_Brown_and_Rihanna the section is to remain as is until 1) the investigation closes, or Rihanna speaks.",I agree completely with Bookkeeper and Realist2.,2
That and a hell of a lot of his parents' money.,"I have, and I enjoy thinking about it with great frequency.",2
"I know we already talked about this, but I'll keep you in my thoughts and prayers.","All I can say is good luck, and you're in my prayers!",2
I choose plain and utterly brilliant because sparkling conversations and learning is smexy.,"Brilliant and ugly, hands down.",2
lol although that really tall girl was REALLY pretty (and Li Na was even prettier but she was eliminated early on) ..I didn't like her though,Li Na was my fav XDD She was so cute!!!,2
"I agree that going forwards the tree diverges, but that does not indicate a universal common descent, but rather indicates a mechanisms of evolution.","Move forward and the tree diverges, it doesn't converge.",2
"Seriously, it's good to know you're out there.",It's great to see you back.,2
I'd recommend that you take this to Peer Review before renominating for FAC (and advertise the peer review at all of the wikiprojects).,Another peer review might be a good idea.,2
There are numerous examples of entropy driving order and self assembly.,"Well at its heart, all organization is driven by entropy; the trick is getting the entropy to work for organization, which biological organisms are very good at doing.",2
"(There is a link within the section for the reader to read further about ''Criticism of religion;'' Wikipedia also contains a ''Criticism of atheism'' page, so the topic is not out of bounds for a complete online encyclopedia.) I would suggest that either adding a separate ''Dangers of atheism'' section, or combining them into ''Dangers of Religions vs. Atheism,'' would make the article more complete -- not to mention more neutral in its POV.","It's the subsection title that is the real problem, and I do agree that it should be renamed - e.g. Viewing Religions as Dangerous.",2
Conjures up some beautiful imagery.,I love the imagery and the use of personification.,2
"Where are the stories about the kid in the wheel chair, or the black girl with the stunning voice?",I want to know more about the other kids too.,2
We took our country back.,"I, and many other people, just did!",2
12 is such a fragile age!,"ya it is , and in some respects, part of him is still back there in time.",2
"Having conversations on eljay, when we're both on MSN!",me too,2
"- Well, I can't speak for Wikiscient, but I assume it's for the same reasons I stated here repeatedly: The dead Gettysburg soldier is too specific for a lead image: this is not death in general, it's the death of a soldier in war - this also applies to the Pope image, another very specific case of death.",I don't really have too much of a problem with this dead-soldier (though again a more ''neutral'' John-Doe-on-morgue-slab would be better).,2
"Everyone says it's stressful and awful, but I LOVE it.",i absolutly love being in a new place.,2
It's beautiful!!,And yes the new print is so gorgeous!,2
I think it's hardly fair to call her the Queen of RnB in 2007 just on the basis of one article.,In all seriousness I think that possibly a mention that she has been called the R&B queen would be OK but keep it at that.,2
The quote would be more at home in our 'since 1900' section.,"Any failures of mine notwithstanding, I'd be OK with moving the quote there, after the paragraph that mentions Harris and the other New Atheists. It would have the beneficial effect of removing recentism from the Etymology section.",2
I adore moving.,yes.,2
"I rescued her, but she saved me.","The last couple years were a good time for her, and for you.",2
Happy Birthday!,HAPPY BIRTHDAY!!!!,2
"FranzFerdinandFranzFerdinandFranzFerdinand<3 You`ve made me need to go and listen to that song, now..!",Heee I -loooove- Franz Ferdinand <3,2
"I find that country scary, it's one of the reasons why I wouldn't like to visit it, nevermind live there...","Well, I agree.",2
"By your reasoning, rebellion/attacks on civilians is a crime too and some other contributor would justify the genocide on those grounds.","Yes, generally extermination is not considered a valid response to 'rebellion', particularly when evidence of said rebellion is quite elusive.",2
"Either way, I think it was great of you to find these and make them more accessible to us for our consideration.",I agree.,2
SO CUTE,"BUT AWWW, that pom is sooo adorable.",2
"I think the solution would be to move some of the content and sources to the article cunt (which already discusses the issue but not in as much depth) and the rest of the content to the Wiktionary entries on the words rabbit, coney, cunny etc.","Your solution was the right call, and yes, for the right reasons.",2
It sounds incredibly complicated and scary.,"Technological progression in the games industry is a wonderful thing, but when you don't live and breath the job, it becomes hella hard to stay positive and on track.",2
"It won't solve all the problems, but it would at least minimize them.","Yes, I agree.",2
I tend to agree that this image is fairly disturbing - the body is partly decapitated and there are flies all over the head and torso.,"I am rather upset with the current image Image:Civil War graves.JPG This article should be mainly about the science of death, and its ties with human culture secondary.",2
Too bad it also totally blows.,Dittooooo.,2
I adore moving.,its so nice,2
Christmas is ridiculous.,christmas is putting a huge amount of stress on me and causing so much anxiety.,2
oh snap.,That is amazing.,2
The shoes are awesome.,I love those shoes *_*.,2
I'm really sorry to hear about that.,Ahhh bugger dude.,2
The best part is that her shoes have little tiny cleats.,"I liked Molly, but since two (?) of the neighborhood girls had Molly, and another had Felicity, and another later got the ''You'' doll...",2
"If I don't get some discussion and objections, I'm going to move ahead with this change.",I am fine with the change.,2
Gorgeous!,This is gorgeous!,2
It almost made me excited for Matt Smith just so that garbage would end.,"It's like RTD looked at Last Of The Time Lords and thought, ''How can I be more ridiculous than this?''",2
Basically the folks who want to cry racism and what not are blithering idiots  who never managed to open their minds enough to see what this movie was about.,"yes, at every point.",2
The variety of ''Christian'' that would go around trying to codify the exclusivity of their beliefs into law has no more respect for atheists than it does for gays.,"That's very true, but they haven't tried to take any civil liberties away from Atheists (yet)...",2
Is it okay if I add you?,Yeah!,2
''Ethnic cleansing'' wasn't that a phrase dreamed-up by some Washington wag-the-dog think-tank as a way of implying genocide without actually having to produce any evidence to prove genocide?,"I agree that ethnic cleansing (which includes the concept of both removal and extermination) has a wishy washyness about it (in the manner that some use it to sound less harsh then massacres/mass killings/genocide etc)and would hesitate to recommend its use for these reasons (and in fact the word ''genocide'' is certainly the more accurate word to describe the entirety of what occured - in plan, enactment and result) - though in fact term ethnic cleansing does provide a good description of the (at least initial) intent of the CUP who wished Armenians removed from Eastern Anatolia and (eventualy) from (nearly all) other areas (of the livable parts of the Ottoman Empire) inhabited by Armenians.",2
An hour just doesn't seem long enough to fit it all in.,"I read that it's supposed to be an hour and fifteen minutes, which helps a little, but there's still so much to resolve.",2
I was going to say his hair...,the two combined are lethal.,2
"Of all people that I would have hoped to understand the plight of the repressed minority, I thought the African-American community would have understood.",I thought the African-American community would have understood.,2
"My mother reckons Wilf's going to have to kill Ten to save Donna or something, 'cause of the whole 'you've never killed a man' thing that TV woman said.","It definitely sounded like he will have a hand in killing someone/thing, at least.",2
"While I don't at all agree with the seal hunt, I give huge props to this:Senator fires back at U.S.",That is so awesome.,2
"Nope, common descent does not produce biodiversity.","This may be rather confused, but basically I agree with Roland.",2
"Oh no, I'm so sorry.",oh no :( i'm so sorry to hear that.,2
"This was my last gift to her, and I miss her already.",You did the right thing.,2
"and all of this bullshit where they refuse to hold a temporary ceasefire to allow foreign national tourists to safely evactuate, as fucked up and shitty as that is, has me simply livid.","That said, everybody just needs to stop.",2
"Somehow I've always thought it's better to be blunt and confrontational, but then again...bleh.","I guess if you are willing to get along with fewer people, then it's really no big deal.",2
urghhhh I LOOOOOOVE the country!!!,"ITS ALWAYS GOOD NO MATTER WHAT, BECAUSE IN THE COUNTRY THERE'S ALWAYS CRAZY PEOPLE AND FREE BOOZE",2
This is a lovely piece of poetry.,great job!,2
I'm pretty sure we're at least close to the same page - it's partly because Canada has some of those social and legal conditions that I was able to let my daughter's father opt out.,"Comes right down to it, I have to agree with you - the opt-out can only work if it doesn't leave the mothers high and dry.",2
We took our country back.,In total agreement!,2
"Because the page sees several instances of vandalism every day by anons, I would like to ask Wassupwestcoast, our local admin on the page, to please reconsider his removal of the semi-security protection of this page.",I would agree it's unnecessary for now.,2
Hugs for all of you.,My sympathies and love are with you both.,2
"The two aren't really comparable, though, are they?",It seems like comparing apples to oranges to put any comment about Muslims outnumbering Roman Catholics.,2
sleep-age is what you need,Sleep = cure for everything.,2
"Well I wish you had, it would have saved me the experience of crying while curled up in the fetus position in my bathtub.",Of course in my case it was my eye - but it doesn't take a genius to figure out if it hurts my eye it's going to hurt your bits,2
"I would favour wording along the lines of : Broadly speaking atheism is the absence of belief in the existence of deities (gods), most simply expressed as the position that there are no deities, or the explicit rejection of belief in deities. Atheism contrasts with theism, which in its most general form is the belief that at least one deity exists. This article explains a range of prominent philosophical and religious positions on atheism, and traces a history of thought on atheism to contemporary debates and factors, including those about morality, social dynamics, and demographics.","Peterstrempel, I really like your suggested substitute.",2
I want to visit you at work more often.,VISIT ME MORE OFTEN IT MAKES ME SMILE,2
"Good luck, I know you can get everything figured out and put back together, if you put your mind to it.",Very true.,2
"I mean, if you think of ''the Devil'' as ''the personification of evil, or as an anthropomorphic conception of evil'', and sex abuse is evil, and the coverup of evil is evil, and the coverup of the sex abuse came from within the Vatican, then, well, yes, the Devil is at work inside the Vatican.",''The devil is at work'' may be Churchspeak ''people are doing bad things''.,2
"That's kinda sad, but cool at the same time.",That's great!,2
You are so beautiful!,Looks really good!,2
It's irrelevant for the classification of the language.,"A (very) brief note (maybe a single sentence) might be appropriate, but a whole paragraph seems to be overkill on what is, essentially, a forgery (from what I can tell) and not, in the end, relevant to the issue of describing the Basque language.",2
I am OK either way.,"I think the sentence is good the way it is; it shows that the church, while believing itself to be the ''one true church'', also wants to work with others on common goals/for unity.",2
